start;end;activity;artifact
0;1000;3;4
1000;2000;3;4
2000;3000;3;4
3000;4000;3;4
4000;5000;3;4
5000;6000;3;4
6000;7000;3;4
7000;8000;3;4
8000;9000;3;4
9000;10000;3;4
10000;11000;3;4
11000;12000;3;4
12000;13000;3;4
13000;14000;3;4
14000;15000;3;4
15000;16000;3;4
16000;17000;3;4
17000;18000;3;4
18000;19000;3;4
19000;20000;3;4
20000;21000;3;4
21000;22000;3;4
22000;23000;3;4
23000;24000;3;4
24000;25000;3;4
25000;26000;3;4
26000;27000;3;4
27000;28000;3;4
28000;29000;3;4
29000;30000;3;4
30000;31000;3;4
