start;end;activity;artifact
0;1000;0;0
1000;2000;0;0
2000;3000;0;0
3000;4000;0;0
4000;5000;0;0
5000;6000;0;0
6000;7000;0;0
7000;8000;0;0
8000;9000;0;0
9000;10000;0;0
10000;11000;0;0
11000;12000;0;0
12000;13000;0;0
13000;14000;0;0
14000;15000;0;0
15000;16000;0;0
16000;17000;0;0
17000;18000;0;0
18000;19000;0;0
19000;20000;0;0
20000;21000;0;0
21000;22000;0;0
22000;23000;0;0
23000;24000;0;0
24000;25000;0;0
25000;26000;0;0
26000;27000;0;0
27000;28000;0;0
28000;29000;0;0
29000;30000;0;0
30000;31000;0;0
31000;32000;0;0
