start;end;activity;artifact
0;1000;2;0
1000;2000;2;0
2000;3000;2;0
3000;4000;2;0
4000;5000;2;0
5000;6000;2;0
6000;7000;2;0
7000;8000;2;0
8000;9000;2;0
9000;10000;2;0
10000;11000;2;0
11000;12000;2;0
12000;13000;2;0
13000;14000;2;0
14000;15000;2;0
15000;16000;2;0
16000;17000;2;0
17000;18000;2;0
18000;19000;2;0
19000;20000;2;0
20000;21000;2;0
21000;22000;2;0
22000;23000;2;0
23000;24000;2;0
24000;25000;2;0
25000;26000;2;0
26000;27000;2;0
27000;28000;2;0
28000;29000;2;0
29000;30000;2;0
30000;31000;2;0
