start;end;activity;artifact;electrode
0;1000;4;1;2
1000;2000;4;1;2
2000;3000;4;1;2
3000;4000;4;1;2
4000;5000;4;1;2
5000;6000;4;1;2
6000;7000;4;1;2
7000;8000;4;1;2
8000;9000;4;1;2
9000;10000;4;1;2
10000;11000;4;1;2
11000;12000;4;1;2
12000;13000;4;1;2
13000;14000;4;1;2
14000;15000;4;1;2
15000;16000;4;1;2
16000;17000;4;1;2
17000;18000;4;1;2
18000;19000;4;1;2
19000;20000;4;1;2
20000;21000;4;1;2
21000;22000;4;1;2
22000;23000;4;1;2
23000;24000;4;1;2
24000;25000;4;1;2
25000;26000;4;1;2
26000;27000;4;1;2
27000;28000;4;1;2
28000;29000;4;1;2
29000;30000;4;1;2
30000;31000;4;1;2
