start;end;activity;artifact;electrode
0;1000;2;2;2
1000;2000;2;2;2
2000;3000;2;2;2
3000;4000;2;2;2
4000;5000;2;2;2
5000;6000;2;2;2
6000;7000;2;2;2
7000;8000;2;2;2
8000;9000;2;2;2
9000;10000;2;2;2
10000;11000;2;2;2
11000;12000;2;2;2
12000;13000;2;2;2
13000;14000;2;2;2
14000;15000;2;2;2
15000;16000;2;2;2
16000;17000;2;2;2
17000;18000;2;2;2
18000;19000;2;2;2
19000;20000;2;2;2
20000;21000;2;2;2
21000;22000;2;2;2
22000;23000;2;2;2
23000;24000;2;2;2
24000;25000;2;2;2
25000;26000;2;2;2
26000;27000;2;2;2
27000;28000;2;2;2
28000;29000;2;2;2
29000;30000;2;2;2
30000;31000;2;2;2
31000;32000;2;2;2
32000;33000;2;2;2
