start;end;activity;artifact;electrode
0;1000;3;2;3
1000;2000;3;2;3
2000;3000;3;2;3
3000;4000;3;2;3
4000;5000;3;2;3
5000;6000;3;2;3
6000;7000;3;2;3
7000;8000;3;2;3
8000;9000;3;2;3
9000;10000;3;3;3
10000;11000;3;4;3
11000;12000;3;3;3
12000;13000;3;3;3
13000;14000;3;3;3
14000;15000;3;3;3
15000;16000;3;3;3
16000;17000;3;3;3
17000;18000;3;3;3
18000;19000;3;3;3
19000;20000;3;3;3
20000;21000;3;3;3
21000;22000;3;3;3
22000;23000;3;3;3
23000;24000;3;3;3
24000;25000;3;3;3
25000;26000;3;3;3
26000;27000;3;3;3
27000;28000;3;3;3
28000;29000;3;3;3
29000;30000;3;3;3
