start;end;activity;artifact;electrode
0;1000;0;1;1
1000;2000;0;1;1
2000;3000;0;1;1
3000;4000;0;1;1
4000;5000;0;1;1
5000;6000;0;1;1
6000;7000;0;1;1
7000;8000;0;1;1
8000;9000;0;1;1
9000;10000;0;1;1
10000;11000;0;1;1
11000;12000;0;1;1
12000;13000;0;1;1
13000;14000;0;1;1
14000;15000;0;1;1
15000;16000;0;1;1
16000;17000;0;1;1
17000;18000;0;1;1
18000;19000;0;1;1
19000;20000;0;1;1
20000;21000;0;1;1
21000;22000;0;1;1
22000;23000;0;1;1
23000;24000;0;1;1
24000;25000;0;1;1
25000;26000;0;1;1
26000;27000;0;1;1
27000;28000;0;1;1
28000;29000;0;1;1
29000;30000;0;1;1
30000;31000;0;1;1
