start;end;activity;artifact;electrode
0;1000;1;4;3
1000;2000;1;2;3
2000;3000;1;4;3
3000;4000;1;2;3
4000;5000;1;2;3
5000;6000;1;2;3
6000;7000;1;2;3
7000;8000;1;2;3
8000;9000;1;2;3
9000;10000;1;2;3
10000;11000;1;2;3
11000;12000;1;2;3
12000;13000;1;2;3
13000;14000;1;1;3
14000;15000;1;2;3
15000;16000;1;1;3
16000;17000;1;2;3
17000;18000;1;1;3
18000;19000;1;2;3
19000;20000;1;1;3
20000;21000;1;2;3
21000;22000;1;2;3
22000;23000;1;1;3
23000;24000;1;2;3
24000;25000;1;1;3
25000;26000;1;2;3
26000;27000;1;1;3
27000;28000;1;4;3
28000;29000;1;1;3
29000;30000;1;2;3
30000;31000;1;1;3
31000;32000;1;1;3
32000;33000;1;2;3
